//NbLocations 
86 
 
//NbProducts 
38 
 
//K: NbBoxesTrolley 
6 
 
//NbDimensionsCapacity 
2 
 
//B: CapaBox 
12000 92160 
 
//A box can accept mixed orders(0: no, 1: yes) 
0 
 
//Products 
//Idx Location Dim1 Dim2 ... 
1 1 219 1980 
2 2 195 1408 
3 3 183 1408 
4 4 212 1408 
5 5 174 1408 
6 8 270 1714 
7 9 425 2208 
8 10 228 1646 
9 13 280 2560 
10 14 194 1329 
11 15 186 1920 
12 16 207 1320 
13 17 141 1056 
14 17 155 960 
15 19 195 1920 
16 19 187 1646 
17 21 151 1056 
18 22 141 929 
19 23 142 1280 
20 29 182 1320 
21 31 161 1080 
22 32 157 1920 
23 32 147 1131 
24 6 165 1408 
25 7 189 1131 
26 11 190 1920 
27 12 182 1320 
28 17 141 1016 
29 18 157 960 
30 20 207 1509 
31 23 165 1152 
32 24 180 1234 
33 25 115 864 
34 26 221 1440 
35 27 146 960 
36 28 153 960 
37 28 140 1080 
38 30 200 1234 
 
//Orders 
//NbOrders 
9 
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ... 
1 1 5 1 1 4 1 8 1 21 1 23 1 
2 1 4 2 1 3 1 5 1 6 1 
3 1 3 2 2 3 2 10 1 
4 1 4 2 2 4 1 5 1 9 2 
5 1 5 2 2 3 1 4 1 5 1 7 1 
6 1 13 2 2 10 1 11 1 12 1 13 1 14 1 15 2 16 1 17 1 18 1 19 1 20 1 22 1 
7 1 11 2 1 3 1 4 1 5 1 24 1 13 1 28 1 15 2 30 2 31 1 19 2 
8 1 16 3 1 4 2 5 2 24 1 27 1 28 2 29 1 19 2 32 1 33 1 34 1 35 1 36 1 37 1 20 2 38 1 
9 1 4 3 1 4 1 25 1 26 1 
 
//Graph (Products are vertices indexed from 1 to NbProducts) 
//NbVerticesIntersections 
54 
 
//DepartingDepot 
0 
 
//ArrivalDepot 
87 
 
//Arcs 
//Start End Distance 
0 33 5000 
0 35 5000 
0 37 5000 
0 39 5000 
0 41 5000 
0 43 5000 
0 45 5000 
0 47 5000 
0 49 5000 
0 51 5000 
0 53 5000 
0 55 5000 
1 2 45 
2 36 360 
3 59 330 
4 5 225 
5 40 0 
6 62 330 
6 63 540 
7 62 540 
8 9 405 
8 64 520 
9 10 180 
9 65 520 
10 66 520 
11 67 450 
12 68 330 
13 54 495 
14 15 45 
14 18 330 
15 16 45 
15 70 330 
16 71 330 
16 72 90 
17 71 90 
18 19 90 
19 20 45 
20 21 90 
21 22 135 
22 23 45 
23 24 45 
24 25 45 
25 26 180 
26 27 45 
27 28 45 
28 29 180 
29 30 90 
30 31 45 
31 32 90 
32 56 0 
33 34 330 
34 35 810 
34 87 0 
35 36 330 
35 58 360 
36 37 810 
36 87 0 
37 3 540 
37 38 330 
38 39 810 
38 87 0 
39 40 460 
39 61 0 
40 41 820 
40 87 0 
41 6 0 
41 42 330 
42 43 230 
42 87 0 
43 44 520 
44 45 200 
44 87 0 
45 8 360 
45 46 520 
46 47 230 
46 87 0 
47 48 330 
48 49 820 
48 87 0 
49 11 450 
49 50 450 
50 51 810 
50 87 0 
51 52 330 
52 53 810 
52 87 0 
53 54 330 
53 69 495 
54 55 810 
54 87 0 
55 56 330 
55 86 0 
56 87 0 
57 1 330 
58 2 330 
58 57 45 
59 38 540 
60 4 460 
61 5 460 
61 60 225 
62 42 0 
63 7 330 
64 46 360 
65 64 405 
66 65 180 
67 50 450 
68 13 675 
69 12 675 
69 13 330 
70 18 45 
71 70 45 
72 17 330 
73 14 90 
73 19 330 
74 20 330 
74 73 45 
75 21 330 
75 74 90 
76 22 330 
76 75 135 
77 23 330 
77 76 45 
78 24 330 
78 77 45 
79 25 330 
79 78 45 
80 26 330 
80 79 180 
81 27 330 
81 80 45 
82 28 330 
82 81 45 
83 29 330 
83 82 180 
84 30 330 
84 83 90 
85 31 330 
85 84 45 
86 32 330 
