//NbLocations 
106 
 
//NbProducts 
46 
 
//K: NbBoxesTrolley 
6 
 
//NbDimensionsCapacity 
2 
 
//B: CapaBox 
12000 92160 
 
//A box can accept mixed orders(0: no, 1: yes) 
0 
 
//Products 
//Idx Location Dim1 Dim2 ... 
1 1 397 4320 
2 1 338 2200 
3 2 266 2829 
4 3 288 2475 
5 4 489 4400 
6 5 447 3600 
7 5 529 4400 
8 6 415 3600 
9 7 471 3960 
10 8 434 3960 
11 9 481 3927 
12 10 441 4320 
13 11 473 3456 
14 11 282 3300 
15 12 418 4320 
16 13 380 2829 
17 13 235 2400 
18 14 272 3300 
19 15 392 4320 
20 16 480 3641 
21 17 328 2475 
22 18 420 3600 
23 19 306 2160 
24 20 325 2329 
25 21 448 3641 
26 22 395 3323 
27 23 417 2880 
28 24 416 3600 
29 25 435 2200 
30 26 491 2880 
31 27 501 2880 
32 28 19 171 
33 29 107 754 
34 30 350 275 
35 31 496 3456 
36 32 445 2880 
37 33 571 4320 
38 34 452 2880 
39 35 220 1037 
40 36 80 917 
41 37 159 704 
42 38 20 143 
43 39 630 7200 
44 40 153 968 
45 41 455 3600 
46 42 76 611 
 
//Orders 
//NbOrders 
1 
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ... 
1 3 46 1 1 2 2 3 1 4 1 5 1 6 2 7 1 8 1 9 2 10 2 11 2 12 1 13 1 14 1 15 1 16 1 17 1 18 1 19 1 20 1 21 2 22 1 23 1 24 1 25 1 26 1 27 1 28 4 29 1 30 1 31 1 32 3 33 1 34 2 35 1 36 1 37 1 38 1 39 1 40 1 41 1 42 4 43 1 44 1 45 1 46 1 
 
//Graph (Products are vertices indexed from 1 to NbProducts) 
//NbVerticesIntersections 
64 
 
//DepartingDepot 
0 
 
//ArrivalDepot 
107 
 
//Arcs 
//Start End Distance 
0 43 5000 
0 45 5000 
0 47 5000 
0 49 5000 
0 51 5000 
0 53 5000 
0 55 5000 
0 57 5000 
0 59 5000 
0 61 5000 
0 63 5000 
0 65 5000 
0 67 5000 
0 69 5000 
1 5 330 
1 73 45 
2 3 360 
2 71 330 
3 72 330 
4 5 45 
5 6 45 
6 7 180 
7 8 135 
8 44 90 
9 77 330 
10 15 330 
10 79 45 
11 12 630 
11 13 330 
12 78 330 
13 14 135 
14 15 45 
15 16 45 
16 17 180 
17 48 45 
18 19 135 
18 82 330 
19 83 330 
20 21 45 
21 50 135 
22 23 90 
23 24 315 
24 52 585 
25 26 675 
26 27 45 
27 54 135 
28 29 225 
29 58 405 
30 31 45 
30 94 310 
31 32 90 
31 95 310 
32 33 495 
32 96 310 
33 97 310 
33 98 270 
34 97 270 
35 36 90 
36 37 45 
37 38 720 
38 39 135 
39 62 0 
40 41 45 
41 64 855 
42 106 330 
43 44 330 
43 76 90 
44 45 960 
44 107 0 
45 9 450 
45 46 330 
46 47 810 
46 107 0 
47 48 330 
47 81 45 
48 49 810 
48 107 0 
49 50 330 
49 85 135 
50 51 810 
50 107 0 
51 52 450 
51 88 585 
52 53 810 
52 107 0 
53 54 330 
53 91 135 
54 55 320 
54 107 0 
55 56 280 
56 57 990 
56 107 0 
57 58 230 
57 93 405 
58 59 460 
58 107 0 
59 30 45 
59 60 310 
60 61 920 
60 107 0 
61 62 330 
61 103 0 
62 63 810 
62 107 0 
63 64 330 
63 105 855 
64 65 810 
64 107 0 
65 42 270 
65 66 330 
66 67 900 
66 107 0 
67 68 230 
68 69 810 
68 107 0 
69 70 0 
70 107 0 
71 4 135 
72 71 360 
73 2 135 
73 4 330 
74 1 45 
74 6 330 
75 7 330 
75 74 180 
76 8 330 
76 75 135 
77 46 450 
78 13 630 
79 11 135 
79 14 330 
