//NbLocations 
50 
 
//NbProducts 
13 
 
//K: NbBoxesTrolley 
6 
 
//NbDimensionsCapacity 
2 
 
//B: CapaBox 
12000 92160 
 
//A box can accept mixed orders(0: no, 1: yes) 
0 
 
//Products 
//Idx Location Dim1 Dim2 ... 
1 1 680 9600 
2 2 680 9600 
3 3 680 9600 
4 7 1170 6120 
5 8 982 7480 
6 9 259 2541 
7 4 1049 6120 
8 5 1080 6120 
9 6 972 6120 
10 10 276 2541 
11 11 312 2880 
12 12 289 2541 
13 13 327 2880 
 
//Orders 
//NbOrders 
2 
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ... 
1 3 13 1 2 2 1 3 6 4 1 5 3 6 2 7 3 8 2 9 2 10 3 11 2 12 3 13 1 
2 1 10 4 1 5 2 6 1 10 2 11 1 12 2 13 1 7 2 8 1 9 1 
 
//Graph (Products are vertices indexed from 1 to NbProducts) 
//NbVerticesIntersections 
37 
 
//DepartingDepot 
0 
 
//ArrivalDepot 
51 
 
//Arcs 
//Start End Distance 
0 14 5000 
0 16 5000 
0 18 5000 
0 20 5000 
0 22 5000 
0 24 5000 
0 26 5000 
0 28 5000 
0 30 5000 
0 32 5000 
0 34 5000 
0 36 5000 
1 2 90 
1 38 330 
2 39 330 
3 15 945 
4 5 180 
5 6 135 
6 17 315 
7 8 405 
7 44 330 
8 45 330 
9 46 520 
10 29 900 
11 48 450 
12 49 330 
13 33 855 
14 15 330 
14 40 945 
15 16 810 
15 51 0 
16 17 330 
16 43 315 
17 18 810 
17 51 0 
18 7 180 
18 19 330 
19 20 810 
19 51 0 
20 21 460 
21 22 820 
21 51 0 
22 23 330 
23 24 230 
23 51 0 
24 25 520 
25 26 200 
25 51 0 
26 9 315 
26 27 520 
27 28 230 
27 51 0 
28 29 330 
28 47 900 
29 30 820 
29 51 0 
30 11 1350 
30 31 450 
31 32 810 
31 51 0 
32 33 330 
32 50 855 
33 34 810 
33 51 0 
34 35 330 
35 36 810 
35 51 0 
36 37 330 
37 51 0 
38 3 135 
39 38 90 
40 1 135 
40 3 330 
41 4 330 
42 5 330 
42 41 180 
43 6 330 
43 42 135 
44 19 180 
45 44 405 
46 27 315 
47 10 330 
48 31 1350 
49 13 225 
50 12 225 
50 13 330 
 
//LocStart LocEnd ShortestPath 
0 1 6080 
0 2 6170 
0 3 6275 
0 4 5960 
0 5 5780 
0 6 5645 
0 7 5180 
0 8 5585 
0 9 5315 
0 10 6230 
0 11 6350 
0 12 6080 
0 13 6185 
0 14 5000 
0 15 5330 
0 16 5000 
0 17 5330 
0 18 5000 
0 19 5330 
0 20 5000 
0 21 5460 
0 22 5000 
0 23 5330 
0 24 5000 
0 25 5520 
0 26 5000 
0 27 5520 
0 28 5000 
0 29 5330 
0 30 5000 
0 31 5450 
0 32 5000 
0 33 5330 
0 34 5000 
0 35 5330 
0 36 5000 
0 37 5330 
0 38 6410 
0 39 6500 
0 40 5945 
0 41 5630 
0 42 5450 
0 43 5315 
0 44 5510 
0 45 5915 
0 46 5835 
0 47 5900 
0 48 6800 
0 49 6410 
0 50 5855 
0 51 5330 
1 2 90 
1 3 465 
1 4 3180 
1 5 3000 
1 6 2865 
1 7 3540 
1 8 3945 
1 9 7375 
1 10 9040 
1 11 10310 
1 12 11300 
1 13 11405 
1 15 1410 
1 16 2220 
1 17 2550 
1 18 3360 
1 19 3690 
1 20 4500 
1 21 4960 
1 22 5780 
1 23 6110 
1 24 6340 
1 25 6860 
1 26 7060 
1 27 7580 
1 28 7810 
1 29 8140 
1 30 8960 
1 31 9410 
1 32 10220 
1 33 10550 
1 34 11360 
1 35 11690 
1 36 12500 
1 37 12830 
1 38 330 
1 39 420 
1 41 2850 
1 42 2670 
1 43 2535 
1 44 3870 
1 45 4275 
1 46 7895 
1 47 8710 
1 48 10760 
1 49 11630 
1 50 11075 
1 51 1410 
2 3 555 
2 4 3270 
2 5 3090 
2 6 2955 
2 7 3630 
2 8 4035 
2 9 7465 
2 10 9130 
2 11 10400 
2 12 11390 
2 13 11495 
2 15 1500 
2 16 2310 
2 17 2640 
2 18 3450 
2 19 3780 
2 20 4590 
2 21 5050 
2 22 5870 
2 23 6200 
2 24 6430 
2 25 6950 
2 26 7150 
2 27 7670 
2 28 7900 
2 29 8230 
2 30 9050 
2 31 9500 
2 32 10310 
2 33 10640 
2 34 11450 
2 35 11780 
2 36 12590 
2 37 12920 
2 38 420 
2 39 330 
2 41 2940 
2 42 2760 
2 43 2625 
2 44 3960 
2 45 4365 
2 46 7985 
2 47 8800 
2 48 10850 
2 49 11720 
2 50 11165 
2 51 1500 
3 4 2715 
3 5 2535 
3 6 2400 
3 7 3075 
3 8 3480 
3 9 6910 
3 10 8575 
3 11 9845 
3 12 10835 
3 13 10940 
3 15 945 
3 16 1755 
3 17 2085 
3 18 2895 
3 19 3225 
3 20 4035 
3 21 4495 
3 22 5315 
3 23 5645 
3 24 5875 
3 25 6395 
3 26 6595 
3 27 7115 
3 28 7345 
3 29 7675 
3 30 8495 
3 31 8945 
3 32 9755 
3 33 10085 
3 34 10895 
3 35 11225 
3 36 12035 
3 37 12365 
3 41 2385 
3 42 2205 
3 43 2070 
3 44 3405 
3 45 3810 
3 46 7430 
3 47 8245 
3 48 10295 
3 49 11165 
3 50 10610 
3 51 945 
4 5 180 
4 6 315 
4 7 1620 
4 8 2025 
4 9 5455 
4 10 7120 
4 11 8390 
4 12 9380 
4 13 9485 
4 17 630 
4 18 1440 
4 19 1770 
4 20 2580 
4 21 3040 
4 22 3860 
4 23 4190 
4 24 4420 
4 25 4940 
4 26 5140 
4 27 5660 
4 28 5890 
4 29 6220 
4 30 7040 
4 31 7490 
4 32 8300 
4 33 8630 
4 34 9440 
4 35 9770 
4 36 10580 
4 37 10910 
4 44 1950 
4 45 2355 
4 46 5975 
4 47 6790 
4 48 8840 
4 49 9710 
4 50 9155 
4 51 630 
5 6 135 
5 7 1440 
5 8 1845 
5 9 5275 
5 10 6940 
5 11 8210 
5 12 9200 
5 13 9305 
5 17 450 
5 18 1260 
5 19 1590 
5 20 2400 
5 21 2860 
5 22 3680 
5 23 4010 
5 24 4240 
5 25 4760 
5 26 4960 
5 27 5480 
5 28 5710 
5 29 6040 
5 30 6860 
5 31 7310 
5 32 8120 
5 33 8450 
5 34 9260 
5 35 9590 
5 36 10400 
5 37 10730 
5 44 1770 
5 45 2175 
5 46 5795 
5 47 6610 
5 48 8660 
5 49 9530 
5 50 8975 
5 51 450 
6 7 1305 
6 8 1710 
6 9 5140 
6 10 6805 
6 11 8075 
6 12 9065 
6 13 9170 
6 17 315 
6 18 1125 
6 19 1455 
6 20 2265 
6 21 2725 
6 22 3545 
6 23 3875 
6 24 4105 
6 25 4625 
6 26 4825 
6 27 5345 
6 28 5575 
6 29 5905 
6 30 6725 
6 31 7175 
6 32 7985 
6 33 8315 
6 34 9125 
6 35 9455 
6 36 10265 
6 37 10595 
6 44 1635 
6 45 2040 
6 46 5660 
6 47 6475 
6 48 8525 
6 49 9395 
6 50 8840 
6 51 315 
7 8 405 
7 9 4195 
7 10 5860 
7 11 7130 
7 12 8120 
7 13 8225 
7 19 510 
7 20 1320 
7 21 1780 
7 22 2600 
7 23 2930 
7 24 3160 
7 25 3680 
7 26 3880 
7 27 4400 
7 28 4630 
7 29 4960 
7 30 5780 
7 31 6230 
7 32 7040 
7 33 7370 
7 34 8180 
7 35 8510 
7 36 9320 
7 37 9650 
7 44 330 
7 45 735 
7 46 4715 
7 47 5530 
7 48 7580 
7 49 8450 
7 50 7895 
7 51 510 
8 9 4600 
8 10 6265 
8 11 7535 
8 12 8525 
8 13 8630 
8 19 915 
8 20 1725 
8 21 2185 
8 22 3005 
8 23 3335 
8 24 3565 
8 25 4085 
8 26 4285 
8 27 4805 
8 28 5035 
8 29 5365 
8 30 6185 
8 31 6635 
8 32 7445 
8 33 7775 
8 34 8585 
8 35 8915 
8 36 9725 
8 37 10055 
8 44 735 
8 45 330 
8 46 5120 
8 47 5935 
8 48 7985 
8 49 8855 
8 50 8300 
8 51 915 
9 10 2295 
9 11 3565 
9 12 4555 
9 13 4660 
9 27 835 
9 28 1065 
9 29 1395 
9 30 2215 
9 31 2665 
9 32 3475 
9 33 3805 
9 34 4615 
9 35 4945 
9 36 5755 
9 37 6085 
9 46 520 
9 47 1965 
9 48 4015 
9 49 4885 
9 50 4330 
9 51 835 
10 11 3070 
10 12 4060 
10 13 4165 
10 29 900 
10 30 1720 
10 31 2170 
10 32 2980 
10 33 3310 
10 34 4120 
10 35 4450 
10 36 5260 
10 37 5590 
10 48 3520 
10 49 4390 
10 50 3835 
10 51 900 
11 12 3690 
11 13 3795 
11 31 1800 
11 32 2610 
11 33 2940 
11 34 3750 
11 35 4080 
11 36 4890 
11 37 5220 
11 48 450 
11 49 4020 
11 50 3465 
11 51 1800 
12 13 555 
12 33 1410 
12 34 2220 
12 35 2550 
12 36 3360 
12 37 3690 
12 49 330 
12 51 1410 
13 33 855 
13 34 1665 
13 35 1995 
13 36 2805 
13 37 3135 
13 51 855 
14 1 1080 
14 2 1170 
14 3 1275 
14 4 2100 
14 5 1920 
14 6 1785 
14 7 2460 
14 8 2865 
14 9 6295 
14 10 7960 
14 11 9230 
14 12 10220 
14 13 10325 
14 15 330 
14 16 1140 
14 17 1470 
14 18 2280 
14 19 2610 
14 20 3420 
14 21 3880 
14 22 4700 
14 23 5030 
14 24 5260 
14 25 5780 
14 26 5980 
14 27 6500 
14 28 6730 
14 29 7060 
14 30 7880 
14 31 8330 
14 32 9140 
14 33 9470 
14 34 10280 
14 35 10610 
14 36 11420 
14 37 11750 
14 38 1410 
14 39 1500 
14 40 945 
14 41 1770 
14 42 1590 
14 43 1455 
14 44 2790 
14 45 3195 
14 46 6815 
14 47 7630 
14 48 9680 
14 49 10550 
14 50 9995 
14 51 330 
15 4 1770 
15 5 1590 
15 6 1455 
15 7 2130 
15 8 2535 
15 9 5965 
15 10 7630 
15 11 8900 
15 12 9890 
15 13 9995 
15 16 810 
15 17 1140 
15 18 1950 
15 19 2280 
15 20 3090 
15 21 3550 
15 22 4370 
15 23 4700 
15 24 4930 
15 25 5450 
15 26 5650 
15 27 6170 
15 28 6400 
15 29 6730 
15 30 7550 
15 31 8000 
15 32 8810 
15 33 9140 
15 34 9950 
15 35 10280 
15 36 11090 
15 37 11420 
15 41 1440 
15 42 1260 
15 43 1125 
15 44 2460 
15 45 2865 
15 46 6485 
15 47 7300 
15 48 9350 
15 49 10220 
15 50 9665 
15 51 0 
16 4 960 
16 5 780 
16 6 645 
16 7 1320 
16 8 1725 
16 9 5155 
16 10 6820 
16 11 8090 
16 12 9080 
16 13 9185 
16 17 330 
16 18 1140 
16 19 1470 
16 20 2280 
16 21 2740 
16 22 3560 
16 23 3890 
16 24 4120 
16 25 4640 
16 26 4840 
16 27 5360 
16 28 5590 
16 29 5920 
16 30 6740 
16 31 7190 
16 32 8000 
16 33 8330 
16 34 9140 
16 35 9470 
16 36 10280 
16 37 10610 
16 41 630 
16 42 450 
16 43 315 
16 44 1650 
16 45 2055 
16 46 5675 
16 47 6490 
16 48 8540 
16 49 9410 
16 50 8855 
16 51 330 
17 7 990 
17 8 1395 
17 9 4825 
17 10 6490 
17 11 7760 
17 12 8750 
17 13 8855 
17 18 810 
17 19 1140 
17 20 1950 
17 21 2410 
17 22 3230 
17 23 3560 
17 24 3790 
17 25 4310 
17 26 4510 
17 27 5030 
17 28 5260 
17 29 5590 
17 30 6410 
17 31 6860 
17 32 7670 
17 33 8000 
17 34 8810 
17 35 9140 
17 36 9950 
17 37 10280 
17 44 1320 
17 45 1725 
17 46 5345 
17 47 6160 
17 48 8210 
17 49 9080 
17 50 8525 
17 51 0 
18 7 180 
18 8 585 
18 9 4015 
18 10 5680 
18 11 6950 
18 12 7940 
18 13 8045 
18 19 330 
18 20 1140 
18 21 1600 
18 22 2420 
18 23 2750 
18 24 2980 
18 25 3500 
18 26 3700 
18 27 4220 
18 28 4450 
18 29 4780 
18 30 5600 
18 31 6050 
18 32 6860 
18 33 7190 
18 34 8000 
18 35 8330 
18 36 9140 
18 37 9470 
18 44 510 
18 45 915 
18 46 4535 
18 47 5350 
18 48 7400 
18 49 8270 
18 50 7715 
18 51 330 
19 9 3685 
19 10 5350 
19 11 6620 
19 12 7610 
19 13 7715 
19 20 810 
19 21 1270 
19 22 2090 
19 23 2420 
19 24 2650 
19 25 3170 
19 26 3370 
19 27 3890 
19 28 4120 
19 29 4450 
19 30 5270 
19 31 5720 
19 32 6530 
19 33 6860 
19 34 7670 
19 35 8000 
19 36 8810 
19 37 9140 
19 46 4205 
19 47 5020 
19 48 7070 
19 49 7940 
19 50 7385 
19 51 0 
20 9 2875 
20 10 4540 
20 11 5810 
20 12 6800 
20 13 6905 
20 21 460 
20 22 1280 
20 23 1610 
20 24 1840 
20 25 2360 
20 26 2560 
20 27 3080 
20 28 3310 
20 29 3640 
20 30 4460 
20 31 4910 
20 32 5720 
20 33 6050 
20 34 6860 
20 35 7190 
20 36 8000 
20 37 8330 
20 46 3395 
20 47 4210 
20 48 6260 
20 49 7130 
20 50 6575 
20 51 460 
21 9 2415 
21 10 4080 
21 11 5350 
21 12 6340 
21 13 6445 
21 22 820 
21 23 1150 
21 24 1380 
21 25 1900 
21 26 2100 
21 27 2620 
21 28 2850 
21 29 3180 
21 30 4000 
21 31 4450 
21 32 5260 
21 33 5590 
21 34 6400 
21 35 6730 
21 36 7540 
21 37 7870 
21 46 2935 
21 47 3750 
21 48 5800 
21 49 6670 
21 50 6115 
21 51 0 
22 9 1595 
22 10 3260 
22 11 4530 
22 12 5520 
22 13 5625 
22 23 330 
22 24 560 
22 25 1080 
22 26 1280 
22 27 1800 
22 28 2030 
22 29 2360 
22 30 3180 
22 31 3630 
22 32 4440 
22 33 4770 
22 34 5580 
22 35 5910 
22 36 6720 
22 37 7050 
22 46 2115 
22 47 2930 
22 48 4980 
22 49 5850 
22 50 5295 
22 51 330 
23 9 1265 
23 10 2930 
23 11 4200 
23 12 5190 
23 13 5295 
23 24 230 
23 25 750 
23 26 950 
23 27 1470 
23 28 1700 
23 29 2030 
23 30 2850 
23 31 3300 
23 32 4110 
23 33 4440 
23 34 5250 
23 35 5580 
23 36 6390 
23 37 6720 
23 46 1785 
23 47 2600 
23 48 4650 
23 49 5520 
23 50 4965 
23 51 0 
24 9 1035 
24 10 2700 
24 11 3970 
24 12 4960 
24 13 5065 
24 25 520 
24 26 720 
24 27 1240 
24 28 1470 
24 29 1800 
24 30 2620 
24 31 3070 
24 32 3880 
24 33 4210 
24 34 5020 
24 35 5350 
24 36 6160 
24 37 6490 
24 46 1555 
24 47 2370 
24 48 4420 
24 49 5290 
24 50 4735 
24 51 520 
25 9 515 
25 10 2180 
25 11 3450 
25 12 4440 
25 13 4545 
25 26 200 
25 27 720 
25 28 950 
25 29 1280 
25 30 2100 
25 31 2550 
25 32 3360 
25 33 3690 
25 34 4500 
25 35 4830 
25 36 5640 
25 37 5970 
25 46 1035 
25 47 1850 
25 48 3900 
25 49 4770 
25 50 4215 
25 51 0 
26 9 315 
26 10 1980 
26 11 3250 
26 12 4240 
26 13 4345 
26 27 520 
26 28 750 
26 29 1080 
26 30 1900 
26 31 2350 
26 32 3160 
26 33 3490 
26 34 4300 
26 35 4630 
26 36 5440 
26 37 5770 
26 46 835 
26 47 1650 
26 48 3700 
26 49 4570 
26 50 4015 
26 51 520 
27 10 1460 
27 11 2730 
27 12 3720 
27 13 3825 
27 28 230 
27 29 560 
27 30 1380 
27 31 1830 
27 32 2640 
27 33 2970 
27 34 3780 
27 35 4110 
27 36 4920 
27 37 5250 
27 47 1130 
27 48 3180 
27 49 4050 
27 50 3495 
27 51 0 
28 10 1230 
28 11 2500 
28 12 3490 
28 13 3595 
28 29 330 
28 30 1150 
28 31 1600 
28 32 2410 
28 33 2740 
28 34 3550 
28 35 3880 
28 36 4690 
28 37 5020 
28 47 900 
28 48 2950 
28 49 3820 
28 50 3265 
28 51 330 
29 11 2170 
29 12 3160 
29 13 3265 
29 30 820 
29 31 1270 
29 32 2080 
29 33 2410 
29 34 3220 
29 35 3550 
29 36 4360 
29 37 4690 
29 48 2620 
29 49 3490 
29 50 2935 
29 51 0 
30 11 1350 
30 12 2340 
30 13 2445 
30 31 450 
30 32 1260 
30 33 1590 
30 34 2400 
30 35 2730 
30 36 3540 
30 37 3870 
30 48 1800 
30 49 2670 
30 50 2115 
30 51 450 
31 12 1890 
31 13 1995 
31 32 810 
31 33 1140 
31 34 1950 
31 35 2280 
31 36 3090 
31 37 3420 
31 49 2220 
31 50 1665 
31 51 0 
32 12 1080 
32 13 1185 
32 33 330 
32 34 1140 
32 35 1470 
32 36 2280 
32 37 2610 
32 49 1410 
32 50 855 
32 51 330 
33 34 810 
33 35 1140 
33 36 1950 
33 37 2280 
33 51 0 
34 35 330 
34 36 1140 
34 37 1470 
34 51 330 
35 36 810 
35 37 1140 
35 51 0 
36 37 330 
36 51 330 
37 51 0 
38 3 135 
38 4 2850 
38 5 2670 
38 6 2535 
38 7 3210 
38 8 3615 
38 9 7045 
38 10 8710 
38 11 9980 
38 12 10970 
38 13 11075 
38 15 1080 
38 16 1890 
38 17 2220 
38 18 3030 
38 19 3360 
38 20 4170 
38 21 4630 
38 22 5450 
38 23 5780 
38 24 6010 
38 25 6530 
38 26 6730 
38 27 7250 
38 28 7480 
38 29 7810 
38 30 8630 
38 31 9080 
38 32 9890 
38 33 10220 
38 34 11030 
38 35 11360 
38 36 12170 
38 37 12500 
38 41 2520 
38 42 2340 
38 43 2205 
38 44 3540 
38 45 3945 
38 46 7565 
