//NbLocations 
104 
 
//NbProducts 
42 
 
//K: NbBoxesTrolley 
6 
 
//NbDimensionsCapacity 
2 
 
//B: CapaBox 
12000 92160 
 
//A box can accept mixed orders(0: no, 1: yes) 
0 
 
//Products 
//Idx Location Dim1 Dim2 ... 
1 14 340 1579 
2 18 442 2200 
3 19 615 3000 
4 20 480 1875 
5 21 448 2400 
6 22 439 2200 
7 23 471 6667 
8 24 401 2400 
9 17 74 800 
10 25 260 2000 
11 31 379 2829 
12 32 379 2829 
13 38 471 6667 
14 39 217 1650 
15 40 60 550 
16 41 293 2063 
17 26 120 818 
18 30 379 2829 
19 37 471 6667 
20 27 180 1375 
21 28 379 2829 
22 8 448 2400 
23 9 393 2200 
24 10 446 2400 
25 1 607 2526 
26 2 140 1280 
27 3 479 2400 
28 4 471 2200 
29 5 426 2400 
30 6 408 2200 
31 7 454 2200 
32 15 355 1800 
33 16 120 818 
34 11 479 2400 
35 12 162 1131 
36 13 120 818 
37 29 379 2829 
38 33 60 550 
39 34 60 550 
40 35 60 550 
41 36 282 2063 
42 42 355 1800 
 
//Orders 
//NbOrders 
2 
//Idx M NbProdInOrder ProdIdx1 Qty1 ProdIdx2 Qty2 ... 
1 8 39 1 18 2 4 3 6 4 6 5 3 6 4 7 11 8 4 9 3 10 1 11 3 12 3 13 9 14 1 15 8 16 5 22 2 23 3 24 5 25 2 26 1 27 1 28 3 29 5 30 4 31 3 34 5 35 5 36 23 32 1 33 22 20 40 37 15 21 14 38 12 39 8 40 12 41 5 42 4 
2 6 16 7 12 17 23 4 6 18 26 19 8 20 40 21 9 1 18 32 2 33 22 25 2 38 12 39 8 40 12 14 1 15 8 
 
//Graph (Products are vertices indexed from 1 to NbProducts) 
//NbVerticesIntersections 
62 
 
//DepartingDepot 
0 
 
//ArrivalDepot 
105 
 
//Arcs 
//Start End Distance 
0 43 5000 
0 45 5000 
0 47 5000 
0 49 5000 
0 51 5000 
0 53 5000 
0 55 5000 
0 57 5000 
0 59 5000 
0 61 5000 
0 63 5000 
0 65 5000 
0 67 5000 
0 69 5000 
1 71 450 
1 72 225 
2 71 225 
3 73 330 
3 80 180 
4 74 330 
4 75 90 
5 74 90 
6 7 225 
7 8 45 
8 9 45 
9 10 270 
10 73 180 
11 56 540 
12 82 230 
12 85 225 
13 14 315 
13 83 230 
14 84 230 
15 82 225 
16 58 0 
17 18 540 
17 23 310 
18 19 135 
18 22 310 
19 20 135 
19 87 310 
20 21 310 
21 87 135 
22 23 540 
23 24 180 
24 60 90 
25 26 450 
26 62 495 
27 31 330 
27 93 90 
28 29 45 
29 30 405 
30 31 90 
31 32 90 
32 64 45 
33 34 45 
34 35 90 
35 36 180 
36 37 180 
37 66 450 
38 39 270 
38 100 230 
39 40 225 
39 101 230 
40 41 270 
40 102 230 
41 42 90 
41 103 230 
42 104 230 
43 44 330 
44 45 960 
44 105 0 
45 46 330 
46 47 810 
46 105 0 
47 48 330 
48 49 810 
48 105 0 
49 50 330 
50 51 810 
50 105 0 
51 1 270 
51 52 450 
52 53 810 
52 105 0 
53 3 0 
53 54 330 
54 55 320 
54 105 0 
55 56 280 
55 81 540 
56 57 990 
56 105 0 
57 58 230 
57 86 0 
58 59 460 
58 105 0 
59 60 310 
59 88 90 
60 61 920 
60 105 0 
61 62 330 
61 90 495 
62 63 810 
62 105 0 
63 64 330 
63 94 45 
64 65 810 
64 105 0 
65 66 330 
65 99 450 
66 67 900 
66 105 0 
67 38 0 
67 68 230 
68 69 810 
68 105 0 
69 70 0 
70 105 0 
71 52 270 
72 2 450 
73 54 0 
74 6 225 
75 5 330 
76 4 225 
76 6 330 
77 7 330 
77 76 225 
78 8 330 
78 77 45 
79 9 330 
79 78 45 
