instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131933_Z1.txt,..\data\solutions\instance_0116_131933_Z1_sol.txt,13,76,2924.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131933_Z2.txt,..\data\solutions\instance_0116_131933_Z2_sol.txt,9,51,2622.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131936_Z1.txt,..\data\solutions\instance_0116_131936_Z1_sol.txt,35,210,10290.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131936_Z2.txt,..\data\solutions\instance_0116_131936_Z2_sol.txt,20,116,7391.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131940_Z1.txt,..\data\solutions\instance_0116_131940_Z1_sol.txt,5,29,903.2
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131940_Z2.txt,..\data\solutions\instance_0116_131940_Z2_sol.txt,3,13,763.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131942_Z1.txt,..\data\solutions\instance_0116_131942_Z1_sol.txt,92,552,26484.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131942_Z2.txt,..\data\solutions\instance_0116_131942_Z2_sol.txt,46,276,16858.7
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131948_Z1.txt,..\data\solutions\instance_0116_131948_Z1_sol.txt,4,22,1429.3
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131948_Z2.txt,..\data\solutions\instance_0116_131948_Z2_sol.txt,3,18,1107.9
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131950_Z1.txt,..\data\solutions\instance_0116_131950_Z1_sol.txt,16,92,2962.1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131950_Z2.txt,..\data\solutions\instance_0116_131950_Z2_sol.txt,7,39,2234.8
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131952_Z1.txt,..\data\solutions\instance_0116_131952_Z1_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131952_Z2.txt,..\data\solutions\instance_0116_131952_Z2_sol.txt,-1,-1,-1
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131953_Z1.txt,..\data\solutions\instance_0116_131953_Z1_sol.txt,53,314,15680.4
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131953_Z2.txt,..\data\solutions\instance_0116_131953_Z2_sol.txt,27,157,9807.0
C:\Users\mathi\Documents\TRAVAIL\IG2I\S9\Recherche Informatique\instances\instances\instance_0116_131954_Z1.txt,..\data\solutions\instance_0116_131954_Z1_sol.txt,65,388,18968.5
