instance_file,solution_file,number_of_trolleys,number_of_boxes,total_distance
instance_0116_131933_Z1.txt,instance_0116_131933_Z1_sol.txt,13,76,3223.8
instance_0116_131933_Z2.txt,instance_0116_131933_Z2_sol.txt,9,51,2839.8
instance_0116_131936_Z1.txt,instance_0116_131936_Z1_sol.txt,35,210,10584.5
instance_0116_131936_Z2.txt,instance_0116_131936_Z2_sol.txt,20,116,7421.6
instance_0116_131940_Z1.txt,instance_0116_131940_Z1_sol.txt,5,29,1065.8
instance_0116_131940_Z2.txt,instance_0116_131940_Z2_sol.txt,3,13,732.6
instance_0116_131942_Z1.txt,instance_0116_131942_Z1_sol.txt,-1,-1,-1
instance_0116_131942_Z2.txt,instance_0116_131942_Z2_sol.txt,46,276,16893.2
instance_0116_131948_Z1.txt,instance_0116_131948_Z1_sol.txt,4,22,1410.4
instance_0116_131948_Z2.txt,instance_0116_131948_Z2_sol.txt,3,18,1107.9
instance_0116_131950_Z1.txt,instance_0116_131950_Z1_sol.txt,16,92,3393.5
instance_0116_131950_Z2.txt,instance_0116_131950_Z2_sol.txt,7,39,2343.9
instance_0116_131952_Z1.txt,instance_0116_131952_Z1_sol.txt,-1,-1,-1
instance_0116_131952_Z2.txt,instance_0116_131952_Z2_sol.txt,-1,-1,-1
instance_0116_131953_Z1.txt,instance_0116_131953_Z1_sol.txt,-1,-1,-1
instance_0116_131953_Z2.txt,instance_0116_131953_Z2_sol.txt,27,157,9915
instance_0116_131954_Z1.txt,instance_0116_131954_Z1_sol.txt,65,388,19737.5
instance_0116_131954_Z2.txt,instance_0116_131954_Z2_sol.txt,38,223,13879.9
instance_0116_131955_Z1.txt,instance_0116_131955_Z1_sol.txt,-1,-1,-1
instance_0116_131955_Z2.txt,instance_0116_131955_Z2_sol.txt,-1,-1,-1
instance_0116_131956_Z1.txt,instance_0116_131956_Z1_sol.txt,-1,-1,-1
instance_0116_131956_Z2.txt,instance_0116_131956_Z2_sol.txt,61,363,22503.7
instance_0116_131957_Z1.txt,instance_0116_131957_Z1_sol.txt,7,38,2341.3
instance_0116_131957_Z2.txt,instance_0116_131957_Z2_sol.txt,15,89,4056
instance_0116_131965_Z1.txt,instance_0116_131965_Z1_sol.txt,-1,-1,-1
instance_0116_131965_Z2.txt,instance_0116_131965_Z2_sol.txt,4,20,1330.1
instance_0116_131971_Z1.txt,instance_0116_131971_Z1_sol.txt,10,59,2570.7
instance_0116_131971_Z2.txt,instance_0116_131971_Z2_sol.txt,17,100,5702.5
instance_0116_131973_Z1.txt,instance_0116_131973_Z1_sol.txt,12,71,3507.6
instance_0116_131973_Z2.txt,instance_0116_131973_Z2_sol.txt,7,42,2343.4
instance_0116_131981_Z1.txt,instance_0116_131981_Z1_sol.txt,-1,-1,-1
instance_0116_131981_Z2.txt,instance_0116_131981_Z2_sol.txt,27,157,9964.9
instance_0130_132418_Z1.txt,instance_0130_132418_Z1_sol.txt,4,21,1159.9
instance_0130_132418_Z2.txt,instance_0130_132418_Z2_sol.txt,7,41,2084
instance_0130_132420_Z1.txt,instance_0130_132420_Z1_sol.txt,7,40,2201.8
instance_0130_132420_Z2.txt,instance_0130_132420_Z2_sol.txt,7,38,1984.2
instance_0130_132422_Z1.txt,instance_0130_132422_Z1_sol.txt,18,103,6162
instance_0130_132422_Z2.txt,instance_0130_132422_Z2_sol.txt,17,97,5684
instance_0130_132426_Z1.txt,instance_0130_132426_Z1_sol.txt,2,12,697.4
instance_0130_132426_Z2.txt,instance_0130_132426_Z2_sol.txt,3,15,784.7
instance_0130_132428_Z1.txt,instance_0130_132428_Z1_sol.txt,44,262,15304.4
instance_0130_132428_Z2.txt,instance_0130_132428_Z2_sol.txt,40,237,13408.4
instance_0130_132434_Z1.txt,instance_0130_132434_Z1_sol.txt,2,9,724.4
instance_0130_132434_Z2.txt,instance_0130_132434_Z2_sol.txt,-1,-1,-1
instance_0130_132435_Z1.txt,instance_0130_132435_Z1_sol.txt,7,40,2248.3
instance_0130_132435_Z2.txt,instance_0130_132435_Z2_sol.txt,6,34,1788.3
instance_0130_132436_Z1.txt,instance_0130_132436_Z1_sol.txt,28,164,9856.3
instance_0130_132436_Z2.txt,instance_0130_132436_Z2_sol.txt,29,173,9612.8
instance_0130_132437_Z1.txt,instance_0130_132437_Z1_sol.txt,29,170,9934.4
instance_0130_132437_Z2.txt,instance_0130_132437_Z2_sol.txt,25,145,8141.4
instance_0130_132438_Z1.txt,instance_0130_132438_Z1_sol.txt,30,178,10428.6
instance_0130_132438_Z2.txt,instance_0130_132438_Z2_sol.txt,31,185,10598.4
instance_0130_132439_Z1.txt,instance_0130_132439_Z1_sol.txt,10,56,2744.4
instance_0130_132439_Z2.txt,instance_0130_132439_Z2_sol.txt,9,49,2578.4
instance_0130_132440_Z1.txt,instance_0130_132440_Z1_sol.txt,59,350,20050.7
instance_0130_132440_Z2.txt,instance_0130_132440_Z2_sol.txt,54,323,18316.9
instance_0130_132452_Z1.txt,instance_0130_132452_Z1_sol.txt,2,7,543.5
instance_0130_132452_Z2.txt,instance_0130_132452_Z2_sol.txt,2,10,637.7
instance_0130_132454_Z1.txt,instance_0130_132454_Z1_sol.txt,9,49,2558.1
instance_0130_132454_Z2.txt,instance_0130_132454_Z2_sol.txt,18,104,4859.5
instance_0201_132522_Z1.txt,instance_0201_132522_Z1_sol.txt,4,23,1468.6
instance_0201_132522_Z2.txt,instance_0201_132522_Z2_sol.txt,4,24,1284
instance_0201_132526_Z1.txt,instance_0201_132526_Z1_sol.txt,14,82,4734.5
instance_0201_132526_Z2.txt,instance_0201_132526_Z2_sol.txt,14,83,4389.2
instance_0201_132530_Z1.txt,instance_0201_132530_Z1_sol.txt,2,12,698.3
instance_0201_132530_Z2.txt,instance_0201_132530_Z2_sol.txt,3,18,933
instance_0201_132531_Z1.txt,instance_0201_132531_Z1_sol.txt,37,220,12552.7
instance_0201_132531_Z2.txt,instance_0201_132531_Z2_sol.txt,42,252,13447.3
instance_0201_132536_Z1.txt,instance_0201_132536_Z1_sol.txt,1,5,353.2
instance_0201_132536_Z2.txt,instance_0201_132536_Z2_sol.txt,1,6,313.7
instance_0201_132538_Z1.txt,instance_0201_132538_Z1_sol.txt,5,29,1784
instance_0201_132538_Z2.txt,instance_0201_132538_Z2_sol.txt,5,30,1564.9
instance_0201_132540_Z1.txt,instance_0201_132540_Z1_sol.txt,26,152,8481.2
instance_0201_132540_Z2.txt,instance_0201_132540_Z2_sol.txt,24,143,7696.9
instance_0201_132543_Z1.txt,instance_0201_132543_Z1_sol.txt,23,135,7482.2
instance_0201_132543_Z2.txt,instance_0201_132543_Z2_sol.txt,20,119,6163.9
instance_0201_132545_Z1.txt,instance_0201_132545_Z1_sol.txt,25,150,8056.3
instance_0201_132545_Z2.txt,instance_0201_132545_Z2_sol.txt,26,156,8291.1
instance_0201_132546_Z1.txt,instance_0201_132546_Z1_sol.txt,5,28,1699.1
instance_0201_132546_Z2.txt,instance_0201_132546_Z2_sol.txt,4,24,1266.5
instance_0201_132547_Z1.txt,instance_0201_132547_Z1_sol.txt,46,271,14875.1
instance_0201_132547_Z2.txt,instance_0201_132547_Z2_sol.txt,52,311,16389.4
instance_0201_132549_Z1.txt,instance_0201_132549_Z1_sol.txt,6,32,1676.5
instance_0201_132549_Z2.txt,instance_0201_132549_Z2_sol.txt,10,57,1904.7
instance_0202_132568_Z1.txt,instance_0202_132568_Z1_sol.txt,4,24,1358.8
instance_0202_132568_Z2.txt,instance_0202_132568_Z2_sol.txt,5,25,1338.6
instance_0202_132573_Z1.txt,instance_0202_132573_Z1_sol.txt,16,92,5107.4
instance_0202_132573_Z2.txt,instance_0202_132573_Z2_sol.txt,18,107,5521.4
instance_0202_132574_Z1.txt,instance_0202_132574_Z1_sol.txt,3,14,840.8
instance_0202_132574_Z2.txt,instance_0202_132574_Z2_sol.txt,2,11,586.9
instance_0202_132575_Z1.txt,instance_0202_132575_Z1_sol.txt,44,263,14243.6
instance_0202_132575_Z2.txt,instance_0202_132575_Z2_sol.txt,48,284,14511.9
instance_0202_132576_Z1.txt,instance_0202_132576_Z1_sol.txt,-1,-1,-1
instance_0202_132576_Z2.txt,instance_0202_132576_Z2_sol.txt,1,6,321.8
instance_0202_132577_Z1.txt,instance_0202_132577_Z1_sol.txt,-1,-1,-1
instance_0202_132577_Z2.txt,instance_0202_132577_Z2_sol.txt,-1,-1,-1
instance_0202_132578_Z1.txt,instance_0202_132578_Z1_sol.txt,5,26,1655.6
instance_0202_132578_Z2.txt,instance_0202_132578_Z2_sol.txt,5,26,1476.2
instance_0202_132579_Z1.txt,instance_0202_132579_Z1_sol.txt,-1,-1,-1
instance_0202_132579_Z2.txt,instance_0202_132579_Z2_sol.txt,-1,-1,-1
instance_0202_132580_Z1.txt,instance_0202_132580_Z1_sol.txt,23,137,7772.6
instance_0202_132580_Z2.txt,instance_0202_132580_Z2_sol.txt,19,113,5778.3
instance_0202_132581_Z1.txt,instance_0202_132581_Z1_sol.txt,27,160,8941.5
instance_0202_132581_Z2.txt,instance_0202_132581_Z2_sol.txt,30,180,9144
instance_0202_132582_Z1.txt,instance_0202_132582_Z1_sol.txt,5,29,1669.1
instance_0202_132582_Z2.txt,instance_0202_132582_Z2_sol.txt,4,22,1257.7
